code	description
333310	Commercial and Service Industry Machinery Manufacturing 
238290	Other Building Equipment Contractors 
331420	Copper Rolling, Drawing, Extruding, and Alloying
561920	Convention and Trade Show Organizers
449121	Floor Covering Retailers 
335314	Relay and Industrial Control Manufacturing 
458320	Luggage and Leather Goods Retailers 
326160	Plastics Bottle Manufacturing
311710	Seafood Product Preparation and Packaging
712120	Historical Sites
212230	Copper, Nickel, Lead, and Zinc Mining 
311221	Wet Corn Milling and Starch Manufacturing 
331523	Nonferrous Metal Die-Casting Foundries 
336390	Other Motor Vehicle Parts Manufacturing
332911	Industrial Valve Manufacturing 
561110	Office Administrative Services
522320	Financial Transactions Processing, Reserve, and Clearinghouse Activities 
445230	Fruit and Vegetable Retailers 
111334	Berry (except Strawberry) Farming 
484220	Specialized Freight (except Used Goods) Trucking, Local 
531190	Lessors of Other Real Estate Property 
721310	Rooming and Boarding Houses, Dormitories, and Workers' Camps 
424450	Confectionery Merchant Wholesalers 
541191	Title Abstract and Settlement Offices 
523910	Miscellaneous Intermediation 
325414	Biological Product (except Diagnostic) Manufacturing 
336992	Military Armored Vehicle, Tank, and Tank Component Manufacturing 
513110	Newspaper Publishers 
713120	Amusement Arcades
335921	Fiber Optic Cable Manufacturing 
325180	Other Basic Inorganic Chemical Manufacturing 
113210	Forest Nurseries and Gathering of Forest Products 
334515	Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals 
445250	Fish and Seafood Retailers 
238350	Finish Carpentry Contractors
332215	Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing 
484110	General Freight Trucking, Local 
812112	Beauty Salons 
112511	Finfish Farming and Fish Hatcheries 
512110	Motion Picture and Video Production 
212220	Gold Ore and Silver Ore Mining 
488510	Freight Transportation Arrangement 
112990	All Other Animal Production 
333120	Construction Machinery Manufacturing
458310	Jewelry Retailers 
813930	Labor Unions and Similar Labor Organizations 
112910	Apiculture
331512	Steel Investment Foundries 
332313	Plate Work Manufacturing 
533110	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
624190	Other Individual and Family Services 
541513	Computer Facilities Management Services 
336999	All Other Transportation Equipment Manufacturing 
623990	Other Residential Care Facilities 
211130	Natural Gas Extraction 
561720	Janitorial Services 
512120	Motion Picture and Video Distribution
111320	Citrus (except Orange) Groves 
423520	Coal and Other Mineral and Ore Merchant Wholesalers 
221115	Wind Electric Power Generation 
721110	Hotels (except Casino Hotels) and Motels 
424610	Plastics Materials and Basic Forms and Shapes Merchant Wholesalers 
922190	Other Justice, Public Order, and Safety Activities 
336611	Ship Building and Repairing 
334610	Manufacturing and Reproducing Magnetic and Optical Media 
326291	Rubber Product Manufacturing for Mechanical Use 
488390	Other Support Activities for Water Transportation
111110	Soybean Farming
332996	Fabricated Pipe and Pipe Fitting Manufacturing 
621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists 
423920	Toy and Hobby Goods and Supplies Merchant Wholesalers 
321219	Reconstituted Wood Product Manufacturing 
332721	Precision Turned Product Manufacturing 
336370	Motor Vehicle Metal Stamping
531311	Residential Property Managers 
334511	Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing 
332431	Metal Can Manufacturing 
314120	Curtain and Linen Mills
561491	Repossession Services 
336110	Automobile and Light Duty Motor Vehicle Manufacturing 
562219	Other Nonhazardous Waste Treatment and Disposal 
315210	Cut and Sew Apparel Contractors 
335139	Electric Lamp Bulb and Other Lighting Equipment Manufacturing 
332618	Other Fabricated Wire Product Manufacturing 
423930	Recyclable Material Merchant Wholesalers 
333924	Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing 
813211	Grantmaking Foundations 
524292	Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds 
333514	Special Die and Tool, Die Set, Jig, and Fixture Manufacturing 
481112	Scheduled Freight Air Transportation 
922110	Courts 
511110	SCHIBSTED ASA ADR
311411	Frozen Fruit, Juice, and Vegetable Manufacturing 
522292	Real Estate Credit 
314910	Textile Bag and Canvas Mills 
335311	Power, Distribution, and Specialty Transformer Manufacturing 
311611	Animal (except Poultry) Slaughtering 
922130	Legal Counsel and Prosecution 
456191	Food (Health) Supplement Retailers 
713110	Amusement and Theme Parks 
212319	Other Crushed and Broken Stone Mining and Quarrying 
333248	All Other Industrial Machinery Manufacturing 
111160	Rice Farming
624120	Services for the Elderly and Persons with Disabilities 
485119	Other Urban Transit Systems 
459120	Hobby, Toy, and Game Retailers 
484121	General Freight Trucking, Long-Distance, Truckload 
485410	School and Employee Bus Transportation
336419	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing 
488410	Motor Vehicle Towing
512191	Teleproduction and Other Postproduction Services 
423410	Photographic Equipment and Supplies Merchant Wholesalers 
541219	Other Accounting Services 
332119	Metal Crown, Closure, and Other Metal Stamping (except Automotive) 
221117	Biomass Electric Power Generation 
459910	Pet and Pet Supplies Retailers 
524298	All Other Insurance Related Activities 
324199	All Other Petroleum and Coal Products Manufacturing 
444140	Hardware Retailers 
323113	Commercial Screen Printing 
111930	Sugarcane Farming
311213	Malt Manufacturing 
236117	New Housing For-Sale Builders 
112111	Beef Cattle Ranching and Farming 
212313	Crushed and Broken Granite Mining and Quarrying 
334310	Audio and Video Equipment Manufacturing
339991	Gasket, Packing, and Sealing Device Manufacturing 
522299	International, Secondary Market, and All Other Nondepository Credit Intermediation 
312112	Bottled Water Manufacturing 
221112	Fossil Fuel Electric Power Generation 
334419	Other Electronic Component Manufacturing 
624221	Temporary Shelters 
561410	Document Preparation Services
112120	Dairy Cattle and Milk Production
541860	Direct Mail Advertising
441222	Boat Dealers 
311421	Fruit and Vegetable Canning 
623311	Continuing Care Retirement Communities 
325411	Medicinal and Botanical Manufacturing 
311412	Frozen Specialty Food Manufacturing 
333112	Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing 
561440	Collection Agencies
313310	Textile and Fabric Finishing Mills 
811114	Specialized Automotive Repair 
519210	Libraries and Archives 
541614	Process, Physical Distribution, and Logistics Consulting Services 
561439	Other Business Service Centers (including Copy Shops) 
541850	Indoor and Outdoor Display Advertising
423310	Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers 
337920	Blind and Shade Manufacturing
541330	Engineering Services
335210	Small Electrical Appliance Manufacturing
423910	Sporting and Recreational Goods and Supplies Merchant Wholesalers 
311942	Spice and Extract Manufacturing 
115116	Farm Management Services 
621310	Offices of Chiropractors 
811121	Automotive Body, Paint, and Interior Repair and Maintenance 
313110	Fiber, Yarn, and Thread Mills 
423390	Other Construction Material Merchant Wholesalers 
423610	Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers 
332993	Ammunition (except Small Arms) Manufacturing 
333242	Semiconductor Machinery Manufacturing 
621511	Medical Laboratories 
611410	Business and Secretarial Schools 
238110	Poured Concrete Foundation and Structure Contractors 
441330	Automotive Parts and Accessories Retailers 
532283	Home Health Equipment Rental 
339115	Ophthalmic Goods Manufacturing 
311212	Rice Milling 
621391	Offices of Podiatrists 
424120	Stationery and Office Supplies Merchant Wholesalers 
311423	Dried and Dehydrated Food Manufacturing 
551111	Offices of Bank Holding Companies 
531312	Nonresidential Property Managers 
334412	Bare Printed Circuit Board Manufacturing  
321991	Manufactured Home (Mobile Home) Manufacturing 
331513	Steel Foundries (except Investment) 
721191	Bed-and-Breakfast Inns 
112112	Cattle Feedlots 
111120	Oilseed (except Soybean) Farming 
331110	Iron and Steel Mills and Ferroalloy Manufacturing 
316990	Other Leather and Allied Product Manufacturing 
325620	Toilet Preparation Manufacturing
923120	Administration of Public Health Programs 
623220	Residential Mental Health and Substance Abuse Facilities 
112310	Chicken Egg Production 
532112	Passenger Car Leasing 
311999	All Other Miscellaneous Food Manufacturing 
541340	Drafting Services
925110	Administration of Housing Programs 
337211	Wood Office Furniture Manufacturing 
114111	Finfish Fishing 
238130	Framing Contractors 
311811	Retail Bakeries 
221320	Sewage Treatment Facilities 
334112	Computer Storage Device Manufacturing 
517810	All Other Telecommunications 
339995	Burial Casket Manufacturing 
487210	Scenic and Sightseeing Transportation, Water
531320	Offices of Real Estate Appraisers 
332999	All Other Miscellaneous Fabricated Metal Product Manufacturing 
331315	Aluminum Sheet, Plate, and Foil Manufacturing 
611692	Automobile Driving Schools 
237110	Water and Sewer Line and Related Structures Construction 
711130	Musical Groups and Artists 
445320	Beer, Wine, and Liquor Retailers 
339910	Jewelry and Silverware Manufacturing 
111130	Dry Pea and Bean Farming 
561312	Executive Search Services 
524130	Reinsurance Carriers 
236115	New Single-Family Housing Construction (except For-Sale Builders) 
327993	Mineral Wool Manufacturing 
238170	Siding Contractors 
424720	Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) 
713210	Casinos (except Casino Hotels)
488190	Other Support Activities for Air Transportation
423940	Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers 
332813	Electroplating, Plating, Polishing, Anodizing, and Coloring 
337215	Showcase, Partition, Shelving, and Locker Manufacturing 
111991	Sugar Beet Farming 
532490	Other Commercial and Industrial Machinery and Equipment Rental and Leasing 
622310	Specialty (except Psychiatric and Substance Abuse) Hospitals 
524113	Direct Life Insurance Carriers 
322230	Stationery Product Manufacturing
541820	Public Relations Agencies
238220	Plumbing, Heating, and Air-Conditioning Contractors 
712190	Nature Parks and Other Similar Institutions
311941	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing 
111419	Other Food Crops Grown Under Cover 
531390	Other Activities Related to Real Estate 
512132	Drive-In Motion Picture Theaters 
337121	Upholstered Household Furniture Manufacturing 
238150	Glass and Glazing Contractors 
441210	Recreational Vehicle Dealers 
423850	Service Establishment Equipment and Supplies Merchant Wholesalers 
486210	Pipeline Transportation of Natural Gas
321920	Wood Container and Pallet Manufacturing
111332	Grape Vineyards 
424520	Livestock Merchant Wholesalers 
325220	Artificial and Synthetic Fibers and Filaments Manufacturing
512290	Other Sound Recording Industries
221113	Nuclear Electric Power Generation 
812922	One-Hour Photofinishing 
524210	Insurance Agencies and Brokerages 
424440	Poultry and Poultry Product Merchant Wholesalers 
521110	Monetary Authorities-Central Bank
336413	Other Aircraft Parts and Auxiliary Equipment Manufacturing 
325991	Custom Compounding of Purchased Resins 
326122	Plastics Pipe and Pipe Fitting Manufacturing 
321992	Prefabricated Wood Building Manufacturing 
459420	Gift, Novelty, and Souvenir Retailers 
327420	Gypsum Product Manufacturing
441227	Motorcycle, ATV, and All Other Motor Vehicle Dealers 
339940	Office Supplies (except Paper) Manufacturing
423450	Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers 
326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
441340	Tire Dealers 
334220	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
212321	Construction Sand and Gravel Mining 
713950	Bowling Centers
541840	Media Representatives
321212	Softwood Veneer and Plywood Manufacturing 
423730	Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
316110	Leather and Hide Tanning and Finishing
334417	Electronic Connector Manufacturing 
722513	Limited-Service Restaurants 
311830	Tortilla Manufacturing
812331	Linen Supply 
333921	Elevator and Moving Stairway Manufacturing 
449210	Electronics and Appliance Retailers
333914	Measuring, Dispensing, and Other Pumping Equipment Manufacturing 
561450	Credit Bureaus
445132	Vending Machine Operators 
518210	Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services
321911	Wood Window and Door Manufacturing 
325194	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing 
481219	Other Nonscheduled Air Transportation 
551112	Offices of Other Holding Companies 
213112	Support Activities for Oil and Gas Operations 
455211	Warehouse Clubs and Supercenters 
459110	Sporting Goods Retailers 
523150	Investment Banking and Securities Intermediation 
325320	Pesticide and Other Agricultural Chemical Manufacturing
722410	Drinking Places (Alcoholic Beverages) 
611430	Professional and Management Development Training 
312111	Soft Drink Manufacturing 
622210	Psychiatric and Substance Abuse Hospitals 
311812	Commercial Bakeries 
111335	Tree Nut Farming 
532310	General Rental Centers
336510	Railroad Rolling Stock Manufacturing
339920	Sporting and Athletic Goods Manufacturing
324110	Petroleum Refineries
811420	Reupholstery and Furniture Repair
423720	Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
336310	Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
921130	Public Finance Activities 
517121	Telecommunications Resellers
337212	Custom Architectural Woodwork and Millwork Manufacturing 
812199	Other Personal Care Services 
424940	Tobacco Product and Electronic Cigarette Merchant Wholesalers 
237120	Oil and Gas Pipeline and Related Structures Construction 
325312	Phosphatic Fertilizer Manufacturing 
561599	All Other Travel Arrangement and Reservation Services 
212290	Other Metal Ore Mining 
238210	Electrical Contractors and Other Wiring Installation Contractors
115113	Crop Harvesting, Primarily by Machine 
424990	Other Miscellaneous Nondurable Goods Merchant Wholesalers 
483111	Deep Sea Freight Transportation 
492210	Local Messengers and Local Delivery
541430	Graphic Design Services
459410	Office Supplies and Stationery Retailers 
488119	Other Airport Operations 
445291	Baked Goods Retailers 
332992	Small Arms Ammunition Manufacturing 
424950	Paint, Varnish, and Supplies Merchant Wholesalers 
336991	Motorcycle, Bicycle, and Parts Manufacturing 
424430	Dairy Product (except Dried or Canned) Merchant Wholesalers 
312120	Breweries
311340	Nonchocolate Confectionery Manufacturing
425120	Wholesale Trade Agents and Brokers 
491110	Postal Service
336350	Motor Vehicle Transmission and Power Train Parts Manufacturing
111422	Floriculture Production 
812332	Industrial Launderers 
483211	Inland Water Freight Transportation 
339994	Broom, Brush, and Mop Manufacturing 
314994	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills 
444110	Home Centers 
332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers 
485112	Commuter Rail Systems 
325920	Explosives Manufacturing
516210	Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers
112390	Other Poultry Production 
525120	Health and Welfare Funds 
424930	Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers 
327212	Other Pressed and Blown Glass and Glassware Manufacturing 
336213	Motor Home Manufacturing 
711219	Other Spectator Sports 
312113	Ice Manufacturing 
532210	Consumer Electronics and Appliances Rental
541211	Offices of Certified Public Accountants 
321918	Other Millwork (including Flooring) 
924110	Administration of Air and Water Resource and Solid Waste Management Programs 
334111	Electronic Computer Manufacturing 
458110	Clothing and Clothing Accessories Retailers 
325910	Printing Ink Manufacturing
713940	Fitness and Recreational Sports Centers 
562910	Remediation Services 
339116	Dental Laboratories 
333922	Conveyor and Conveying Equipment Manufacturing 
333243	Sawmill, Woodworking, and Paper Machinery Manufacturing 
336415	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing 
522110	Commercial Banking 
424710	Petroleum Bulk Stations and Terminals 
325314	Fertilizer (Mixing Only) Manufacturing 
311313	Beet Sugar Manufacturing 
561613	Armored Car Services 
711410	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures
522291	Consumer Lending 
332912	Fluid Power Valve and Hose Fitting Manufacturing 
335132	Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing 
713990	All Other Amusement and Recreation Industries 
336412	Aircraft Engine and Engine Parts Manufacturing 
111199	All Other Grain Farming 
322212	Folding Paperboard Box Manufacturing 
332994	Small Arms, Ordnance, and Ordnance Accessories Manufacturing 
488320	Marine Cargo Handling
444230	Outdoor Power Equipment Retailers 
331511	Iron Foundries 
311930	Flavoring Syrup and Concentrate Manufacturing
238140	Masonry Contractors 
115210	Support Activities for Animal Production
335999	All Other Miscellaneous Electrical Equipment and Component Manufacturing 
423440	Other Commercial Equipment Merchant Wholesalers 
455219	All Other General Merchandise Retailers 
541620	Environmental Consulting Services
457110	Gasoline Stations with Convenience Stores 
541611	Administrative Management and General Management Consulting Services 
513130	Book Publishers 
332510	Hardware Manufacturing
522180	Savings Institutions and Other Depository Credit Intermediation 
336411	Aircraft Manufacturing 
561990	All Other Support Services
423840	Industrial Supplies Merchant Wholesalers
721211	RV (Recreational Vehicle) Parks and Campgrounds 
562112	Hazardous Waste Collection 
212210	Iron Ore Mining
336612	Boat Building 
926120	Regulation and Administration of Transportation Programs 
311511	Fluid Milk Manufacturing 
449110	Furniture Retailers 
111310	Orange Groves
711510	Independent Artists, Writers, and Performers 
722310	Food Service Contractors
424110	Printing and Writing Paper Merchant Wholesalers 
721120	Casino Hotels
621493	Freestanding Ambulatory Surgical and Emergency Centers 
487110	Scenic and Sightseeing Transportation, Land
811210	Electronic and Precision Equipment Repair and Maintenance 
541830	Media Buying Agencies
485320	Limousine Service
115111	Cotton Ginning 
325311	Nitrogenous Fertilizer Manufacturing 
424410	General Line Grocery Merchant Wholesalers 
334516	Analytical Laboratory Instrument Manufacturing 
333992	Welding and Soldering Equipment Manufacturing 
325130	Synthetic Dye and Pigment Manufacturing
424480	Fresh Fruit and Vegetable Merchant Wholesalers 
541420	Industrial Design Services
334290	Other Communications Equipment Manufacturing
332311	Prefabricated Metal Building and Component Manufacturing 
325199	All Other Basic Organic Chemical Manufacturing 
314110	Carpet and Rug Mills
311813	Frozen Cakes, Pies, and Other Pastries Manufacturing 
459140	Musical Instrument and Supplies Retailers 
488991	Packing and Crating 
711212	Racetracks 
524291	Claims Adjusting 
481212	Nonscheduled Chartered Freight Air Transportation 
323120	Support Activities for Printing
322299	All Other Converted Paper Product Manufacturing 
333517	Machine Tool Manufacturing 
111992	Peanut Farming 
611519	Other Technical and Trade Schools 
339999	All Other Miscellaneous Manufacturing 
711120	Dance Companies 
516120	Television Broadcasting Stations 
623210	Residential Intellectual and Developmental Disability Facilities 
331314	Secondary Smelting and Alloying of Aluminum 
322220	Paper Bag and Coated and Treated Paper Manufacturing
522220	Sales Financing 
492110	Couriers and Express Delivery Services
512131	Motion Picture Theaters (except Drive-Ins) 
327999	All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
313220	Narrow Fabric Mills and Schiffli Machine Embroidery
333994	Industrial Process Furnace and Oven Manufacturing 
532411	Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing 
212323	Kaolin, Clay, and Ceramic and Refractory Minerals Mining 
335220	Major Household Appliance Manufacturing 
488999	All Other Support Activities for Transportation 
488111	Air Traffic Control
327211	Flat Glass Manufacturing 
541890	Other Services Related to Advertising 
445110	Supermarkets and Other Grocery Retailers (except Convenience Retailers) 
541370	Surveying and Mapping (except Geophysical) Services
311111	Dog and Cat Food Manufacturing 
423430	Computer and Computer Peripheral Equipment and Software Merchant Wholesalers 
611511	Cosmetology and Barber Schools 
221121	Electric Bulk Power Transmission and Control 
336320	Motor Vehicle Electrical and Electronic Equipment Manufacturing
327332	Concrete Pipe Manufacturing 
424460	Fish and Seafood Merchant Wholesalers 
524114	Direct Health and Medical Insurance Carriers 
326140	Polystyrene Foam Product Manufacturing
481211	Nonscheduled Chartered Passenger Air Transportation 
311514	Dry, Condensed, and Evaporated Dairy Product Manufacturing 
112210	Hog and Pig Farming 
325520	Adhesive Manufacturing
541720	Research and Development in the Social Sciences and Humanities 
541320	Landscape Architectural Services
541213	Tax Preparation Services 
541613	Marketing Consulting Services 
621410	Family Planning Centers 
458210	Shoe Retailers 
921110	Executive Offices 
541713	Research and Development in Nanotechnology 
112420	Goat Farming
322121	MATIV HOLDINGS INC
424470	Meat and Meat Product Merchant Wholesalers 
423740	Refrigeration Equipment and Supplies Merchant Wholesalers 
111211	Potato Farming 
561710	Exterminating and Pest Control Services
334413	Semiconductor and Related Device Manufacturing 
456120	Cosmetics, Beauty Supplies, and Perfume Retailers 
541690	Other Scientific and Technical Consulting Services
541410	Interior Design Services
115114	Postharvest Crop Activities (except Cotton Ginning) 
525990	Other Financial Vehicles 
331222	Steel Wire Drawing 
541380	Testing Laboratories and Services
621999	All Other Miscellaneous Ambulatory Health Care Services 
111150	Corn Farming 
311211	Flour Milling 
812310	Coin-Operated Laundries and Drycleaners 
561422	Telemarketing Bureaus and Other Contact Centers 
812210	Funeral Homes and Funeral Services 
493130	Farm Product Warehousing and Storage
483114	Coastal and Great Lakes Passenger Transportation 
312230	Tobacco Manufacturing 
114210	Hunting and Trapping
331318	Other Aluminum Rolling, Drawing, and Extruding 
811490	Other Personal and Household Goods Repair and Maintenance 
424820	Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
324121	Asphalt Paving Mixture and Block Manufacturing 
621111	Offices of Physicians (except Mental Health Specialists) 
333995	Fluid Power Cylinder and Actuator Manufacturing 
722511	Full-Service Restaurants 
238330	Flooring Contractors
331210	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
236118	Residential Remodelers 
561421	Telephone Answering Services 
327390	Other Concrete Product Manufacturing 
331492	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) 
331410	Nonferrous Metal (except Aluminum) Smelting and Refining 
423860	Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers 
423130	Tire and Tube Merchant Wholesalers 
484230	Specialized Freight (except Used Goods) Trucking, Long-Distance 
513120	Periodical Publishers 
485991	Special Needs Transportation 
713910	Golf Courses and Country Clubs
561520	Tour Operators
324191	Petroleum Lubricating Oil and Grease Manufacturing 
519290	Web Search Portals and All Other Information Services
336330	Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
517410	Satellite Telecommunications
334513	Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables 
333515	Cutting Tool and Machine Tool Accessory Manufacturing 
486990	All Other Pipeline Transportation
327991	Cut Stone and Stone Product Manufacturing 
424340	Footwear Merchant Wholesalers 
311351	Chocolate and Confectionery Manufacturing from Cacao Beans 
311512	Creamery Butter Manufacturing 
482112	Short Line Railroads 
711310	Promoters of Performing Arts, Sports, and Similar Events with Facilities 
531130	Lessors of Miniwarehouses and Self-Storage Units 
561311	Employment Placement Agencies 
812910	Pet Care (except Veterinary) Services 
327331	Concrete Block and Brick Manufacturing 
238160	Roofing Contractors 
541618	Other Management Consulting Services 
325211	Plastics Material and Resin Manufacturing 
457120	Other Gasoline Stations 
493110	General Warehousing and Storage 
238320	Painting and Wall Covering Contractors
315120	Apparel Knitting Mills
523991	Trust, Fiduciary, and Custody Activities 
485999	All Other Transit and Ground Passenger Transportation 
112920	Horses and Other Equine Production
221210	Natural Gas Distribution 
111411	Mushroom Production 
221118	Other Electric Power Generation 
336414	Guided Missile and Space Vehicle Manufacturing 
541120	Offices of Notaries
327310	Cement Manufacturing
561492	Court Reporting and Stenotype Services 
522210	Credit Card Issuing 
611699	All Other Miscellaneous Schools and Instruction 
621492	Kidney Dialysis Centers 
113110	Timber Tract Operations
921150	American Indian and Alaska Native Tribal Governments 
541870	Advertising Material Distribution Services
923130	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) 
333611	Turbine and Turbine Generator Set Units Manufacturing 
325611	Soap and Other Detergent Manufacturing 
336340	Motor Vehicle Brake System Manufacturing
337127	Institutional Furniture Manufacturing 
311314	Cane Sugar Manufacturing 
115112	Soil Preparation, Planting, and Cultivating 
812191	Diet and Weight Reducing Centers 
481111	Scheduled Passenger Air Transportation 
323110	DAI NIPPON PRTG SPON
487990	Scenic and Sightseeing Transportation, Other
541360	Geophysical Surveying and Mapping Services
339113	Surgical Appliance and Supplies Manufacturing 
517112	Wireless Telecommunications Carriers (except Satellite)
928110	National Security 
541612	Human Resources Consulting Services 
333131	Mining Machinery and Equipment Manufacturing 
621420	Outpatient Mental Health and Substance Abuse Centers 
711211	Sports Teams and Clubs 
484122	General Freight Trucking, Long-Distance, Less Than Truckload 
327120	Clay Building Material and Refractories Manufacturing 
112320	Broilers and Other Meat Type Chicken Production 
922140	Correctional Institutions 
333612	Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing 
611110	Elementary and Secondary Schools 
424910	Farm Supplies Merchant Wholesalers 
327110	Pottery, Ceramics, and Plumbing Fixture Manufacturing 
524126	Direct Property and Casualty Insurance Carriers 
513199	All Other Publishers 
